"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INF200KA10C3","543431","SFMP56GD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA11C1","543432","SFMP56DD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0GSL01024","543433","HPAL","HP ADHESIVES LIMITED","84.83","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE07RO01027","543434","SUPRIYA","SUPRIYA LIFESCIENCE LIMITED","637.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0JJS01014","543435","CLARA","CLARA INDUSTRIES LIMITED","0.0","",,"0.01","4150","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0IM001015","543436","WITS","WHERRELZ IT SOLUTIONS LIMITED","0.0","",,"0.05","800","EQUITY",,"BSE_EQ"
"BSE_EQ|INF247L01AU3","543437","MONQ50","MOTILAL OSWAL MUTUAL FUND","65.51","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF740KA1QL0","543438","MIDQ50ADD","DSP MUTUAL FUND","253.73","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE792I01017","532941","CORDSCABLE","CORDS CABLE INDUSTRIES LTD","207.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF740KA1CL0","543440","NIFTY50ADD","DSP MUTUAL FUND","253.7","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE925R01014","543441","CMSINFO","CMS INFO SYSTEMS LIMITED","545.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE977Y01011","543442","BCONCEPTS","BRAND CONCEPTS LIMITED","541.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0E4I01019","543443","ASCENSIVE","ASCENSIVE EDUCARE LIMITED","0.0","",,"0.05","2000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0DRT01018","543444","FABINO","FABINO ENTERPRISES LIMITED","0.0","",,"0.01","3000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE634I01029","532942","KNRCON","KNR CONSTRUCTIONS LTD","300.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA17C8","543446","SFMP58DR","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA18C6","543447","SFMP58GD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA19C4","543448","SFMP58DD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE02WG01016","543449","WEL","WONDER ELECTRICALS LIMITED","1509.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF109KC10V2","543450","AUTOIETF","ICICI PRUDENTIAL MUTUAL FUND","24.6","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE583L01014","543451","AGSTRA","AGS TRANSACT TECHNOLOGIES LIMI","96.36","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF109KC1Y56","543452","SILVERIETF","ICICI PRUDENTIAL MUTUAL FUND","98.07","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KA601012","543453","ALKOSIGN","ALKOSIGN LIMITED","123.0","",,"0.05","750","EQUITY",,"BSE_EQ"
"BSE_EQ|INF769K01IB1","543454","MAKEINDIA","MIRAE ASSET MUTUAL FUND","145.1","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA17D6","543455","SFMP59GR","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA18D4","543456","SFMP59DR","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA19D2","543457","SFMP59GD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE699H01024","543458","AWL","ADANI WILMAR LIMITED","343.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA10E9","543459","SFMP59DD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KAF01018","543460","QRIL","QUALITY RO INDUSTRIES LIMITED","137.0","",,"0.05","2000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0JNA01014","543461","SSTL","SAFA SYSTEMS  TECHNOLOGIES LI","0.0","",,"0.01","10000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE060X01026","543462","DEVIT","DEV INFORMATION TECHNOLOGY LIM","154.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE825V01034","543463","MANYAVAR","VEDANT FASHIONS LIMITED","1397.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0JSJ01014","543464","SPITZE","MARUTI INTERIOR PRODUCTS LIMIT","84.03","",,"0.01","1000","EQUITY",,"BSE_EQ"
"BSE_EQ|INF247L01BK2","543465","MOMOMENTUM","MOTILAL OSWAL MUTUAL FUND","71.67","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA11E7","543466","SFMP60GR","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA12E5","543467","SFMP60DR","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA13E3","543468","SFMP60GD","SBI MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE863I01016","532946","BANG","BANG OVERSEAS LTD","56.69","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE728Z01015","543470","SOFTTECH","SOFTTECH ENGINEERS LIMITED","376.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF209KB19F6","543471","SILVER","ADITYA BIRLA SUN LIFE MUTUAL F","97.06","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF209KB11D8","543472","TECH","ADITYA BIRLA SUN LIFE MUTUAL F","42.62","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF209KB10C2","543473","HEALTHY","ADITYA BIRLA SUN LIFE MUTUAL F","14.87","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF209KB19D1","543474","BSLNIFTY","ADITYA BIRLA SUN LIFE MUTUAL F","27.99","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE821I01022","532947","IRB","IRB INFRASTRUCTURE DEVELOPERS","53.5","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF204KC1485","543476","NIMFHKAD","NIPPON INDIA MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF204KC1477","543477","NIMFHKAG","NIPPON INDIA MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF204KC1469","543478","NIMFHKDP","NIPPON INDIA MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF204KC1451","543479","NIMFHKGP","NIPPON INDIA MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF109KC14A8","543480","GSEC5IETF","ICICI PRUDENTIAL MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KCE01017","543482","EUREKAFORB","EUREKA FORBES LIMITED","572.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CC7","543483","H1861D46DG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CD5","543484","H1861D46DD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CE3","543485","H1861D46DQ","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CF0","543486","H1861D46RG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CG8","543487","H1861D46RD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CH6","543488","H1861D46RQ","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE079J01017","543489","GATEWAY","GATEWAY DISTRIPARKS LIMITED","89.03","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0CU601026","543490","GMRP&UI","GMR POWER AND URBAN INFRA LIMI","117.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CI4","543491","H1162D46DG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CJ2","543492","H1162D46DD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CK0","543493","H1162D46DQ","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CL8","543494","H1162D46RG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CM6","543495","H1162D46RD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CN4","543496","H1162D46RQ","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
