,ISIN_code,company_name,industry,timestamp,open,high,low,close,volume,average_price,daily_return,price_change,price_range,delta_close,sma_3,rsi
36,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-23,1362.8,1370.8,1335.2,1340.45,1916219.0,1352.31,-1.64,-22.35,30.35,-22.4,1359.6,34.62
37,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-24,1345.0,1359.0,1336.2,1354.4,1115993.0,1348.65,0.7,9.4,4.6,13.95,1352.57,39.33
38,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-25,1360.0,1368.0,1304.15,1318.7,2078274.0,1337.71,-3.04,-41.3,49.3,-35.7,1337.85,42.85
39,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-28,1326.85,1364.1,1303.15,1352.2,2126411.0,1336.58,1.91,25.35,11.9,33.5,1341.77,35.27
40,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-29,1364.7,1377.45,1322.0,1372.7,3790528.0,1359.21,0.59,8.0,4.75,20.5,1347.87,42.47
41,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-30,1379.95,1414.9,1358.05,1396.2,2526884.0,1387.28,1.18,16.25,18.7,23.5,1373.7,45.8
42,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-31,1407.95,1408.0,1372.1,1375.95,1891761.0,1391.0,-2.27,-32.0,32.05,-20.25,1381.62,43.81
43,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-11-01,1386.5,1397.95,1378.4,1394.4,243881.0,1389.31,0.57,7.9,3.55,18.45,1388.85,47.14
44,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-03,7093.35,7200.0,6855.95,6905.95,655420.0,7013.81,-2.64,-187.4,294.05,,6905.95,
45,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-04,6902.1,6958.3,6727.35,6773.6,429272.0,6840.34,-1.86,-128.5,184.7,-132.35,6839.78,0.0
46,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-07,6801.0,6857.5,6743.15,6773.15,260810.0,6793.7,-0.41,-27.85,84.35,-0.45,6817.57,0.0
47,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-08,6819.0,6940.0,6748.7,6924.3,345891.0,6858.0,1.54,105.3,15.7,151.15,6823.68,53.23
48,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-09,6959.0,7070.0,6936.4,7008.9,391824.0,6993.58,0.72,49.9,61.1,84.6,6902.12,63.97
49,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-10,7054.95,7055.05,6884.05,6955.05,237853.0,6987.28,-1.42,-99.9,100.0,-53.85,6962.75,55.81
50,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-11,6982.0,7018.95,6930.1,6983.4,75315.0,6978.61,0.02,1.4,35.55,28.35,6982.45,58.59
51,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-14,6976.85,7101.4,6961.75,7092.6,168515.0,7033.15,1.66,115.75,8.8,109.2,7010.35,66.67
52,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-15,7115.0,7150.35,7040.0,7140.15,322659.0,7111.38,0.35,25.15,10.2,47.55,7072.05,69.28
53,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-16,7085.1,7135.2,7056.0,7071.3,223419.0,7086.9,-0.19,-13.8,63.9,-68.85,7101.35,62.22
54,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-17,7089.0,7102.6,6960.65,6989.3,183572.0,7035.39,-1.41,-99.7,113.3,-82.0,7066.92,55.5
